sample	tissue	nucl	subject	pool_id	part	side	rpm	rpm_ratio
FC57_BR_R_RNA	BR	RNA	0122	13		R	1451.4971428571428	0.9632457142857143
FC57_BR_R_RNA	BR	RNA	0122	14		R	1464.0428571428567	1.6274342857142854
FC57_BR_R_RNA	BR	RNA	0122	15		R	500.6057142857144	0.6376142857142856
FC57_BR_R_RNA	BR	RNA	0122	16		R	1236.7771428571427	0.953477142857143
FC57_BR_R_RNA	BR	RNA	0122	18		R	545.8114285714286	0.40257142857142847
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	1			175.34657142857142	0.13592257142857145
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	2			1538.4199999999996	1.0601657142857144
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	3			809.4857142857142	0.6239657142857142
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	4			1534.725714285714	1.6752857142857143
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	5			326.88828571428564	0.3546400000000001
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	6			1989.691428571429	1.6316571428571434
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	7			925.2485714285714	0.8525457142857141
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	8			2428.868571428571	1.9539142857142862
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	9			786.0257142857143	0.6025399999999999
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	10			2238.214285714286	1.4472114285714286
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	11			1989.32	1.3132485714285715
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	12			2188.4114285714286	1.7066000000000003
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	13			609.4057142857142	0.40400000000000014
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	14			840.8028571428572	0.9220971428571427
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	15			850.4914285714289	1.0734742857142854
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	16			1550.422857142857	1.196594285714286
FC57_DIA_1218_RNA	Diaphragm	RNA	1218	18			54.20485714285712	0.038177714285714294
FC57_GA_1218_RNA	Gastroc	RNA	1218	1			96.51485714285711	0.07508
FC57_GA_1218_RNA	Gastroc	RNA	1218	2			1923.6257142857146	1.3479714285714284
FC57_GA_1218_RNA	Gastroc	RNA	1218	3			1420.5257142857142	1.092442857142857
FC57_GA_1218_RNA	Gastroc	RNA	1218	4			1167.0200000000002	1.2819228571428571
FC57_GA_1218_RNA	Gastroc	RNA	1218	5			547.1171428571429	0.5924114285714287
FC57_GA_1218_RNA	Gastroc	RNA	1218	6			1940.9	1.6178285714285714
FC57_GA_1218_RNA	Gastroc	RNA	1218	7			1224.9514285714288	1.1709800000000001
FC57_GA_1218_RNA	Gastroc	RNA	1218	8			2594.6657142857143	2.0975999999999995
FC57_GA_1218_RNA	Gastroc	RNA	1218	9			1276.6000000000001	0.9960914285714285
FC57_GA_1218_RNA	Gastroc	RNA	1218	10			1993.9485714285713	1.3008000000000004
FC57_GA_1218_RNA	Gastroc	RNA	1218	11			1646.6628571428575	1.0895371428571423
FC57_GA_1218_RNA	Gastroc	RNA	1218	12			1821.4857142857143	1.4294285714285715
FC57_GA_1218_RNA	Gastroc	RNA	1218	13			275.50571428571425	0.18818857142857146
FC57_GA_1218_RNA	Gastroc	RNA	1218	14			794.4822857142857	0.8643457142857144
FC57_GA_1218_RNA	Gastroc	RNA	1218	15			701.6885714285713	0.8765000000000002
FC57_GA_1218_RNA	Gastroc	RNA	1218	16			1486.54	1.141022857142857
FC57_GA_1218_RNA	Gastroc	RNA	1218	18			18.336	0.011993714285714285
FC57_HRT_1218_RNA	Heart	RNA	1218	1			185.25485714285713	0.14222
FC57_HRT_1218_RNA	Heart	RNA	1218	2			1628.1142857142854	1.1345114285714286
FC57_HRT_1218_RNA	Heart	RNA	1218	3			1305.5542857142855	1.0118485714285714
FC57_HRT_1218_RNA	Heart	RNA	1218	4			1069.274285714286	1.167291428571429
FC57_HRT_1218_RNA	Heart	RNA	1218	5			584.0400000000001	0.6378057142857144
FC57_HRT_1218_RNA	Heart	RNA	1218	6			1817.8114285714287	1.4926285714285712
FC57_HRT_1218_RNA	Heart	RNA	1218	7			1246.6057142857146	1.1860971428571427
FC57_HRT_1218_RNA	Heart	RNA	1218	8			2227.2371428571428	1.8078000000000003
FC57_HRT_1218_RNA	Heart	RNA	1218	9			1623.6742857142854	1.2519171428571427
FC57_HRT_1218_RNA	Heart	RNA	1218	10			1941.9228571428573	1.2567142857142855
FC57_HRT_1218_RNA	Heart	RNA	1218	11			1709.1171428571427	1.135205714285714
FC57_HRT_1218_RNA	Heart	RNA	1218	12			1832.8914285714284	1.4291999999999998
FC57_HRT_1218_RNA	Heart	RNA	1218	13			259.61999999999995	0.17702
FC57_HRT_1218_RNA	Heart	RNA	1218	14			907.2057142857141	0.9953885714285716
FC57_HRT_1218_RNA	Heart	RNA	1218	15			696.9857142857139	0.8797342857142858
FC57_HRT_1218_RNA	Heart	RNA	1218	16			1653.094285714286	1.2832857142857144
FC57_HRT_1218_RNA	Heart	RNA	1218	18			62.22857142857144	0.047729999999999995
FC57_KID_1218_RNA	Kidney	RNA	1218	1			3344.8	2.5286
FC57_KID_1218_RNA	Kidney	RNA	1218	2			987.7714285714286	0.6673057142857144
FC57_KID_1218_RNA	Kidney	RNA	1218	3			1120.48	0.8699085714285715
FC57_KID_1218_RNA	Kidney	RNA	1218	4			1367.1371428571426	1.4932971428571429
FC57_KID_1218_RNA	Kidney	RNA	1218	5			514.5942857142855	0.5854314285714285
FC57_KID_1218_RNA	Kidney	RNA	1218	6			1678.225714285714	1.3746857142857145
FC57_KID_1218_RNA	Kidney	RNA	1218	7			353.50885714285715	0.3290285714285714
FC57_KID_1218_RNA	Kidney	RNA	1218	8			1098.5742857142857	0.8687142857142858
FC57_KID_1218_RNA	Kidney	RNA	1218	9			1045.7885714285712	0.7938314285714283
FC57_KID_1218_RNA	Kidney	RNA	1218	10			1373.014285714286	0.8815800000000001
FC57_KID_1218_RNA	Kidney	RNA	1218	11			1565.3828571428571	1.0752114285714285
FC57_KID_1218_RNA	Kidney	RNA	1218	12			1287.3342857142857	0.9999599999999998
FC57_KID_1218_RNA	Kidney	RNA	1218	13			398.3971428571429	0.2718391428571429
FC57_KID_1218_RNA	Kidney	RNA	1218	14			1190.4885714285713	1.2557
FC57_KID_1218_RNA	Kidney	RNA	1218	15			550.8742857142857	0.6762371428571429
FC57_KID_1218_RNA	Kidney	RNA	1218	16			1511.4657142857145	1.1252571428571432
FC57_KID_1218_RNA	Kidney	RNA	1218	18			1339.1914285714283	1.0061857142857145
FC57_KID_L_RNA	Kidney	RNA	0122	1		L	3446.8	2.594714285714286
FC57_KID_L_RNA	Kidney	RNA	0122	2		L	1546.2457142857143	1.0377942857142854
FC57_KID_L_RNA	Kidney	RNA	0122	3		L	1390.5685714285714	1.0719685714285716
FC57_KID_L_RNA	Kidney	RNA	0122	4		L	1038.4314285714283	1.0645885714285712
FC57_KID_L_RNA	Kidney	RNA	0122	5		L	310.30228571428563	0.3358771428571428
FC57_KID_L_RNA	Kidney	RNA	0122	6		L	1506.0114285714283	1.2369599999999998
FC57_KID_L_RNA	Kidney	RNA	0122	7		L	311.00685714285714	0.3040542857142857
FC57_KID_L_RNA	Kidney	RNA	0122	8		L	955.2628571428571	0.752822857142857
FC57_KID_L_RNA	Kidney	RNA	0122	9		L	783.0457142857142	0.597177142857143
FC57_KID_L_RNA	Kidney	RNA	0122	10		L	1270.1142857142859	0.827997142857143
FC57_KID_L_RNA	Kidney	RNA	0122	11		L	1527.322857142857	1.0150057142857145
FC57_KID_L_RNA	Kidney	RNA	0122	12		L	1177.3028571428574	0.9161800000000001
FC57_KID_L_RNA	Kidney	RNA	0122	13		L	1214.4085714285713	0.82382
FC57_KID_L_RNA	Kidney	RNA	0122	14		L	1045.6714285714286	1.1389457142857145
FC57_KID_L_RNA	Kidney	RNA	0122	15		L	383.9737142857144	0.45996857142857145
FC57_KID_L_RNA	Kidney	RNA	0122	16		L	1706.4314285714286	1.2951285714285714
FC57_KID_L_RNA	Kidney	RNA	0122	18		L	1273.88	0.9234171428571427
FC57_KID_R_RNA	Kidney	RNA	0122	1		R	3872.6857142857143	2.9495999999999998
FC57_KID_R_RNA	Kidney	RNA	0122	2		R	792.2628571428571	0.5438542857142856
FC57_KID_R_RNA	Kidney	RNA	0122	3		R	852.4714285714286	0.6564885714285716
FC57_KID_R_RNA	Kidney	RNA	0122	4		R	1364.3142857142855	1.461282857142857
FC57_KID_R_RNA	Kidney	RNA	0122	5		R	358.5314285714286	0.3953971428571429
FC57_KID_R_RNA	Kidney	RNA	0122	6		R	1539.6	1.2835114285714284
FC57_KID_R_RNA	Kidney	RNA	0122	7		R	207.11485714285712	0.1974451428571429
FC57_KID_R_RNA	Kidney	RNA	0122	8		R	858.2228571428573	0.6879628571428571
FC57_KID_R_RNA	Kidney	RNA	0122	9		R	1219.397142857143	0.9272914285714285
FC57_KID_R_RNA	Kidney	RNA	0122	10		R	1072.2571428571428	0.6870399999999999
