gSB114_vL	0.989	5599831	5537915	2661919	902739	47483
gSB114_L_Kidney_DNA	0.982	393026	385850	26798	341867	12710
gSB114_L_Heart_DNA	0.979	516245	505488	45751	416855	22121
gSB114_L_Brain_DNA	0.930	1020033	948401	16769	933790	3283
gSB114_L_Liver_DNA	0.979	1535059	1503158	256927	595336	38258
gSB114_L_Lung_DNA	0.973	2986561	2904739	67477	2856183	21498
gSB114_L_Muscle_DNA	0.943	2422624	2284061	39253	2245992	4631
gSB114_L_Brain_mRNA	0.888	4621676	4105021	22408	4067806	1570
gSB114_L_Kidney_mRNA	0.914	4916285	4492866	19534	4459567	1933
gSB114_L_Spleen_DNA	0.980	1863677	1825842	257465	1010739	65071
gSB114_N_Brain_DNA	0.913	799386	729451	11935	719448	2615
gSB114_L_Liver_mRNA	0.977	6054748	5913053	91352	5816843	7708
gSB114_N_Heart_DNA	0.989	861885	852387	56489	776828	33510
gSB114_L_Lung_mRNA	0.951	6065145	5767678	41124	5693453	1770
gSB114_N_Kidney_DNA	0.989	867420	858124	24550	841390	12161
gSB114_L_Muscle_mRNA	0.947	5512000	5220083	26783	5174766	2177
gSB114_N_Liver_DNA	0.989	913308	902943	459422	112196	6684
gSB114_N_Lung_DNA	0.986	840373	828455	30186	810687	17769
gSB114_N_Brain_mRNA	0.899	3851829	3462896	23752	3423176	991
gSB114_L_Spleen_mRNA	0.950	5667509	5384974	27626	5336069	2056
gSB114_N_Muscle_DNA	0.790	1832742	1448454	15527	1429135	722
gSB114_N_Kidney_mRNA	0.874	5711092	4989762	39375	4922657	1150
gSB114_N_Heart_mRNA	0.929	6651380	6176092	83753	6083765	5455
gSB114_N_Spleen_DNA	0.986	3246181	3202148	129229	3135132	81788
gSB114_N_Lung_mRNA	0.940	5347523	5025932	58835	4950012	2300
gSB114_N_Liver_mRNA	0.948	5825880	5523090	102421	5435110	21148
gSB114_R_Heart_DNA	0.982	560008	549990	71986	339929	21737
gSB114_N_Muscle_mRNA	0.688	4501329	3098510	21271	3061283	871
gSB114_R_Brain_DNA	0.801	1412545	1130971	19870	1112628	2952
gSB114_R_Liver_DNA	0.948	924557	876932	445822	106064	6361
gSB114_R_Kidney_DNA	0.950	1122167	1065919	28897	1046247	12154
gSB114_N_Spleen_mRNA	0.944	5016549	4733679	10839	4719606	519
gSB114_R_Brain_mRNA	0.869	4936516	4289824	18198	4259256	1627
gSB114_R_Muscle_DNA	0.869	2579059	2241158	32284	2205192	2046
gSB114_R_Lung_DNA	0.933	3418157	3190709	57889	3141908	11965
gSB114_R_Kidney_mRNA	0.926	5610139	5195244	26074	5146186	1826
gSB114_R_Heart_mRNA	0.973	6402832	6230171	59446	6140857	1366
gSB114_R_Lung_mRNA	0.967	5531458	5350196	29472	5295045	1762
gSB114_R_Spleen_DNA	0.981	2633952	2584672	187015	2325288	109937
gSB114_R_Liver_mRNA	0.980	8032385	7874344	99758	7755031	4954
gSB114_R_Muscle_mRNA	0.920	5698268	5244960	17596	5220014	2102
gSB114_R_Spleen_mRNA	0.933	5332956	4978210	15466	4958145	1798
gSB114_pL	0.970	8156821	7908917	7804557	526	26
gSB114_L_Heart_mRNA	0.975	27637709	26940444	181762	26613065	8501
